Название,Книга,Раздел,Текст
Вставай!,Книга героев,Нетленные страницы — Смерть как она есть,"Фаунерэль никогда не видел таких огромных крыс. Вы, конечно, скажете, что из-за страха враг порой кажется здоровее и будете правы. Но эта тварь была на редкость крупной и, как назло, голодной, а потому агрессивной.   
  
Момент встречи крысы и эльфа был действительно неподходящим. Особенно для второго. Фаунерэль слишком увлёкся перевязыванием ран и пропустил первый бросок твари. Молодого героя ослепила боль. Защищаясь, он кувырком ушёл в сторону и почти успел подняться на ноги, но мы-то с вами знаем, что в Пандоре «почти» — не считается.   
  
То ли эльф ошибся в расчёте, то ли крыса оказалась слишком уж непредсказуемой, как бы то ни было, встать ему так и не удалось. Хищная бестия рванула его горло жёлтыми зубами. Потом ещё и ещё раз...   
  
\*\*\*  
  
— Вставай, — донеслось до Фаунерэля.  
  
Молодой герой лежал с закрытыми глазами, боли почему-то не было, только необычное спокойствие ощущалось невероятно остро. Так остро, что даже подозрительно.   
  
— Вставай.  
  
«Значит не показалось», – подумал Фаунерэль и начал слушать тишину. Вдруг, в один миг, ему стало страшно. Эльф решил, что он парализован: рук и ног будто не было, даже головой пошевелить не получалось. Так тихо не может быть нигде, ни при каких условиях. Но это не всё, это можно вытерпеть, а вот чувство падения, окончательно подкосило эльфа. В детстве Фаунерэль сорвался с высокого дерева и недолго летел вниз. Сейчас было также с той лишь разницей, что ветра он не чувствовал совсем, ни единым волоском. Летел куда-то в бездну, в пустоту.  
  
— Вставай! — уже настойчиво и как-то отовсюду разнеслось опять.   
  
Фаунерэлю стало ещё хуже и у него в голове тут же пронеслось: «А что если не встану? Долечу? Упаду? И что тогда? Да бросьте, уже бы упал. Нет такой высоты в Пандоре. Нет таких гор. Уже бы долетел. Чей это голос? И почему я ничего не чувствую?». Возникшие одновременно мысли утратили хоть какой-то порядок и, принялись вести себя, словно жильцы дома скорби, когда в нём бушует пожар.   
Вы-то сразу обо всём догадались, а эльфу только в это мгновение пришло осознание того, что это всё может значить. Из-за безумной путаницы в мыслях, естественно, он сделал неверные выводы. Решив, что встать ему велит кто-то малоприятный, во всём чёрном и с косой, эльф начал сопротивляться – он не хотел вставать. И тогда голос принялся твердить всё громче и всё более настойчиво:  
  
— Вставай! Ну! Давай! Скорей! Вставай! — а потом вдруг спокойно, мягко, шёпотом: — Вставай.  
  
Фаунерэль встал. Правая рука тут же потянулась к шее, коснулась кожи – горло цело. Он тряхнул головой и осмотрелся: в стороне рюкзак, в двух шагах от него перевёрнутый котелок, а рядом... огромные крысиные следы. И ещё кровь. Кровь на песке у обочины, на траве, на груди... Фаунерэль поднял глаза к небу и почувствовал, как лицо ласкает лёгкий ветер, а потом его руки затряслись."
Прославленный герой,Книга героев,Строки на песке,"О, этот сладкий вкус победы!  
О, чувство крепости руки,  
Когда ты видишь - кровь питает  
Арены жёлтые пески!  
  
Когда из горла наглеца  
Толчками плещет жизнь под ноги  
Смахнёшь небрежно пот с лица...  
Ты слышишь, как смеются Боги?  
  
Оваций грохот оглушает,  
Враг пальцами рисует борозды в песке,  
И от восторга сердце замирает,  
И кровь ещё дымится на клинке."
Деньги — грязь,Книга героев,Чеканное счастье,"– Мой господин делает вам очень выгодное предложение, - произнёс крепкого сложения человек в богатых одеждах.  
  
– Меня это вряд ли заинтересует, но вы же должны со мной поговорить, верно? Будет вам, чем перед хозяином отчитываться. Я слушаю, – ответил Кин Во, глядя при этом куда-то вдаль.  
  
– Моему господину известно, что вы работаете сейчас на некого Бомбура. Мы готовы заплатить на пятьдесят процентов больше…  
  
– Что вы сказали? – перебил Кин, повернувшись к человеку.  
  
– Я сказал, что вы получите на семьдесят процентов больше, если предоставите собранную…  
  
– Я не ослышался? – удивился Во.  
  
Человек, поглаживая перстни на пальцах, улыбнулся заискивающе противно. Кин Во, ходок со стажем, гоблин с репутацией, таких не любил.  
  
– Уверен, вы всё верно услышали, – улыбался человек. – Мой щедрый и весьма влиятельный господин заплатит вам вдвое больше. Нужно лишь…  
  
– Я понял, – вновь перебил Кин. – Я вынужден просить у вас прощения. К моему сожалению, доложиться перед хозяином вам не удастся.  
  
– Почему? – спросил крепыш, отвязывая от пояса толстый кошель.  
  
– Ну, как же. Вы ведь меня купить пытаетесь. Верно?  
  
– Э-ээ… – протянул человек, высыпая на ладонь несколько крупных самоцветов. – Я бы не использовал подобных слов. Просто…  
  
Гоблин, в своей манере, опять перебил собеседника:  
  
– Я открою вам одну тайну.  
  
– Весь внимание, – посерьёзнел крепыш, перестав улыбаться и ссыпав камни обратно в кошель.  
  
– Деньги – это грязь, – театральным шёпотом произнёс Кин Во.  
  
Лицо человека вытянулось.  
  
– Простите… я не очень…  
  
– Да я так и понял, – оборвал гоблин и, выхватив из-за пояса тяжёлую бхулаву, ударил собеседнику в висок.  
  
Человек упал с застывшим на лице выражением удивления, не издав ни звука. Во наклонился над телом, разжав мёртвые пальцы, забрал кошель.  
  
– Деньги – грязь, – повторил он, деловито снимая с человека перстни, золотую цепь и расшитый узорами богатый пояс. – Я это и сам понял не так давно, но ты уж мне поверь. И выходит, ты что же, за грязь меня купить хотел?"
Заступник,Книга героев,"Пойди туда, не знаю куда","В городском трактире было свободно. Сидели только рыбаки, собравшиеся на рассветную ловлю, да трое молодых путешественников. Последние ещё не ложились и болтали в полный голос. Рыбаки, скрывая любопытство, молча прислушивались.  
  
– Ну, а ты?  
  
– А я что? Согласился. Деньги-то хорошие. Пришёл утром к воротам городским, да и двинули мы. Караван небольшой, три телеги, места знакомые. Я как раз с той стороны пришёл, куда караван направлялся. Пошли, значит.  
  
Рассказчик отхлебнул с пол-кружки пива, вытер усы и продолжил:  
  
– Я, когда сам к городу шёл, напоролся на пару разбойников да крыс. И всё! А тут, как попёрли! Гремлины, додо, ещё невесть кто. Думал… кх-м, ну это… того, – помявшись, повествующий всё же признался, – ограбить втихую караван, да и бежать. Боялся, что не доберусь до цели живым-то. Уж и оплате не рад был обещанной, но ничего, сдержался. Кое-как добрались.  
  
– Ну, так и как? – спросил собеседник.  
  
– Да так. Я в бинтах весь. Худо-бедно прихромал, значит, деньги получил, да ещё же были у меня с собой, накопленные. Город – торговый центр. Жители все разодетые, не бедствуют. И тут я... Кровью заляпанный, в доспехе дырявом. Пошёл в трактир, поел, поспал. По привычке встал рано, светало только. На улицу вышел… Ух! Красота! Крыши золотятся, деревья в первых лучах солнца - кружевами, тихо, птицы петь только начали... Вот, думаю, город! Цивилизация. Девки нарядные…  
  
– Хы-хы! Тут-то тебя и понесло, да?  
  
– Как есть. Скоро, думаю, на улицах девушки появятся, а я оборванцем хожу. В трактир зашёл, у хозяина разузнал, где у них тут лавки иль рынок. Он мне объяснил, посоветовал.  
  
– Всё спустил?  
  
– Почти. На еду оставил, на нужды мелкие. Но, парни, Дух-Хранитель мне свидетель, как же это было здорово! Все!!! Все на меня смотрели! Девки улыбаются, зубки кажут. Мужики с уважением поглядывают. Бабка на рынке - пирожками торговала. На, говорит, касатик, поешь домашнего. Я засмущался, галд меня задери, а она, говорит, мол, бери, заступник! Понял? Это я-то... заступник?...  
  
Заступник. А что, думаю, может и правда? Может от нас, авантюристов, и впрямь, польза такая. Караван ведь я довёл? То есть, в город товары прибыли? Та же мука, без которой бабка пирогов бы не напекла.  
  
– Ну, это ясно! Ты скажи, главное приключение у тебя случилось?  
  
Тут подал голос третий, сидевший за столом:  
  
– То не приключение, а главная награда для героя, – изрёк он, подняв кружку.  
  
Рассказчик засмущался:  
  
– Нет. Не было ничего такого…  
  
– Как так? Почему?  
  
– Ну… – смущение проступило румянцем на щеках, – я это… пошёл, вроде бы... но сначала выпить решил. Для храбрости. Ну, и... перебрал…  
  
Трактирный зал грохнул от хохота, даже рыбаки за соседним столом не сдержали улыбок."
Тугой кошель карман не тянет!,Книга героев,Чеканное счастье,"Как меня благодарить?  
Как мне выразить спасибо?  
Чем за помощь отплатить?  
О, Хранитель, как же мило!  
  
Не за деньги я добро творю.  
Не за деньги жизнью я рискую,  
Но без них от голода умру,  
Ведь монеты я же не штампую.  
Я, конечно, очень благороден,  
Не знаком с наживой, жаждой мести,  
От грехов различных я свободен,  
И от искушений - слово чести.  
Но, коль скоро подвиг мой оплачен,  
И коль скоро платят за добро,  
Я ссыпаю всё в кошель и плачу,  
Я растроган, мне не всё равно.   
Благодарен я всем вам безмерно.  
Не могу пандорцу не помочь,  
И молюсь за вас всенепременно,  
Но набить кошель и я не прочь."
Пройдя с заката на восток,Книга героев,Годы странствий,"Пройдя с Заката на Восток  
Я много износил сапог,  
Так слушай, путник, в этот час  
Мой удивительный рассказ:  
  
Едва ступил я за порог,  
Как вдруг остался без сапог.  
Ну, влип в болото, как дурак,   
Погибнуть мог - но чтобы ТАК?!  
  
Нельзя герою без сапог.   
На них копил, как только мог.  
На чёрном рынке у реки  
Купил вторые сапоги.  
  
Не счесть мной пройденных дорог,  
Но вот я снова без сапог:  
Чуть задремал, обняв топор -   
Мою обувку кто-то спёр.  
  
Я горевал почти три дня,  
Теперь поздравьте вы меня:  
Неведом мне отныне страх -   
Шагаю в третьих сапогах!  
  
Заказ был сложным, я устал  
И третью пару истоптал.   
Но заработал, не беда,  
Я на четвёртую тогда.  
  
Бандит попался. Я убит.  
Воскрес. Раздет, разут, разбит...  
Разут? Уже четвёртый раз?!  
Хранитель для чего у нас?  
  
Ничто так в жизни не берёг,  
Как пару пятую сапог,  
Но с той минуты по сей час  
Лежит шестая про запас.  
  
На всякий случай, просто так.  
Рюкзак тяжелый? А, пустяк!"
Хладнокровный мясник,Книга героев,Кровавые страницы,"Глубокой ночью, шагах в ста от дороги, горел большой костёр. У огня были двое. Орк, лёжа на спине, каким-то отстранённым, пустым взглядом смотрел на яркие звёзды. Рядом сидел человек. Следя за пламенем, он рассуждал. Не жаловался, нет. Именно рассуждал, и было похоже, что уже давно:  
  
– Пальцем в спину показывают, шепчутся, побаиваются. Хладнокровным мясником зовут. А разве я виноват? Разве не жизнь меня заставляет убивать?  
  
Орк промолчал, но говорившего это не смутило: вероятно, он и не ждал ответа.  
  
– На дорогах всегда неспокойно, – продолжил человек, подкинув в огонь дров. – Не ты убьёшь, так тебя убьют. Ну, ты-то знаешь, как никто. Сам-то скольких уложил? Сдаётся мне, много. Тоже, небось, как и все поначалу, переживал, нервничал. Руки дрожали? У меня даже очень. А потом как-то привыкаешь, черствеешь. Хладнокровный мясник? Пожалуй, но ведь иначе нельзя. Хладнокровие необходимо, иначе не выйдет из тебя толкового ходока. Как думаешь?  
  
Орк по-прежнему молчал, не отрывая глаз от звёзд.  
  
– Молчишь? Оно и понятно.  
  
Человек вновь наклонился к костру, поворошил угли и подкинул пару брёвнышек.  
  
– Готово, наверное. Пора. Ты уж не серчай, ладно? Вот говорят, мол я совсем того… А чего я-то? Дух мой, хранитель, требует. Иначе я бы не стал так-то уж. Но опять же, ты ж сам виноват, признай. Без обид, да?  
  
И опять орк не ответил, и опять человек ответа не ждал, так как глупо этого ждать от того, кому несколько минут назад ты проткнул сердце, а перед тем нанёс с десяток не смертельных, но вполне серьёзных ран. Достав специальный набор ножей, человек принялся за жертвоприношение. Хладнокровно, как заправский мясник, он вырезал из тела любимые Духом-хранителем куски и сжигал в ярком пламени."
Любой трактирщик – друг,Книга героев,Годы странствий,"Пробравшись через трактирный зал, в праздничный вечер заполненный под завязку, Сонг-Лан бухнул на стол четыре здоровенные кружки, увенчанные густой пеной.   
  
– Рагни, а чего мы такие унылые? – улыбнувшись, спросил он. Молодой дварф пригладил холёную, но ещё кроткую бородку:  
  
– Вот скажи мне, Сонг, как опытный и бывалый. Я как вообще?   
  
Усмехнувшись, бывалый авантюрист показал ровные белые зубы, сделал большой глоток и, стерев пену с губ, глянул на собеседника:  
  
– Да отлично, Рагнар. О чём речь? Ты молодчина!  
  
– Спасибо, – ответил молодой дварф гоблину, – я просто... Непонятно же, насколько ты прославиться успел, да? Тебя вот любой оружейник знает, и с Советом городским ты за руки здороваешься, стража на воротах тоже тебя узнаёт. Это ж показатель...  
  
– Нет, – перебил гоблин.  
  
– Как так? Почему? Ну, ты же столько лет странствуешь. Известен стал, стольким помог. Герой.  
  
– Рагни, это ерунда. Оружейник? Да тебя почти любой кузнец знает. Это естественно. А кого он ещё может знать? Только воинов, да купцов, что оружием торгуют. Больше к нему никто не ходит. Совет? Аналогично. С крестьянами советники редко общаются, а к нам с тобой обращаются регулярно. Мы с тобой толкаем по трактам громоздкую телегу цивилизации, политики и прогресса, понимаешь? Ты пиво-то пей.  
  
– А городская стража?  
  
– Тоже не аргумент. Парням скучно на воротах торчать часами. Жители города и окрестностей – серая масса. Неинтересные они, новостей не знают. А тут ты. С полным мешком трофеев и необычных вещиц. С экзотическим оружием, с рассказами о том, где чего да как. Они ещё к артистам бродячим пристают и к девкам симпатичным.   
  
– Значит, я ещё вообще никто. Ни песни про меня, ни байки какой, пусть хоть дурацкой.  
  
– Песни и байки – это тоже чушь. Нет, конечно, бывает, что о славном герое, живой легенде слагают поэмы, книги пишут и прочее. Но всё равно вилами по воде. Знаешь балладу о Фаинласе Светлоликом?  
  
– Конечно! Кто ж её не слышал. Знаешь его?  
  
Сонг-Лан засмеялся, потом ответил:  
  
– Знаю. Причём и ты с ним знаком. Это наш глава клана.   
  
– Не понял, – искренне удивился дварф, – Ласфианутрэль Заика?  
  
– Ага. Ты его имечко вставь в песню или балладу. Выговоришь-то не сразу, а уж о том, чтоб на хмельную голову спеть, и речи нет. А прозвище? Героям многим став примером, идёт прославленный Заика? Говорю тебе, баллада о нём. Та история с сектой Братьев во Крови и дочерью советника по торговым делам приключилась с ним. Ритуальный нож Кровожадного Пророка лежит у Ласфианутрэля дома, на каминной полке. Кстати, в балладе и про нож врут. Никакой он не чёрный с рубинами цвета крови. Довольно скучная вещица из серебра с одним единственным мелким гранатом.   
  
– Дела... А как же мне понять?.. Нет, ты не подумай, что я славы ищу или ещё чего. Просто любопытно.  
  
– Да всё в порядке, Рагнар, дружище! Я, когда в клан вошёл, сам таким был. Узнать, говоришь, как? Да просто! – гоблин повернулся к стойке и крикнул: – Хозяин!  
  
Через мгновение к их столу подпорхнул хозяин трактира: тучный, улыбающийся, с чистым полотенцем через плечо, словом, порядочный.  
  
– Господа мои? – подал он голос.  
  
– Знаешь этого славного малого? – спросил, указав на дварфа, Сонг-Лан.  
  
– Да как же иначе? Господин Рагнар из клана Багровой Башни. Не раз избавлял наш город и окрестные земли от всякой погани.  
  
– Так вот. Не найдётся ли у тебя чего-нибудь особенного для меня и моего одноклановца?  
  
– Для друзей, господин Сонг-Лан, у меня всегда припасено южное восьмилетнее, вы же знаете. К нему имеется свежий кабанчик.   
  
– Отлично. Неси!  
  
Трактирщик шустро удалился на кухню, а гоблин легонько хлопнул Рагнара по плечу:  
  
– Вот. Это, дружище, лучший показатель.   
  
– Восьмилетнее вино и кабан? – с сомнением в голосе спросил тот.  
  
– Да нет! Трактирщик. В трактирах бывают все: кузнецы, артисты, советники, стража, купцы, крестьяне. Вообще, все! Трактирщик кого только здесь не принимает, но именно тебя знает в лицо, помнит твоё имя, называет другом и уже несёт отличное вино. Вот это и есть слава, когда тебе любой трактирщик – друг!"
Матёрый бродяга,Книга героев,Годы странствий,"Вот уже четвёртый час Гортан брёл по тому, что местными властями называлось дорогой. Ноги по колено утопали в жидкой грязи, и гоблину начинало казаться, что он застрял здесь навечно. С громким чваканьем выдернув ногу из очередной ямы, Гортан достал оттуда же сапог и вылил из него воду. Пиявки и головастики сопротивлялись, но всё-таки были безжалостно изгнаны из своего нового “домика”.   
   
— Нет, я, конечно, люблю болото, но не до такой же степени, чтобы дарить ему свои сапоги! Вот ведь глухомань-то! Хоть бы случилось чего, а то совсем тоска заест!   
  
Эх, не в добрый час вспомнил путник о веселье, натягивая на ноги холодную, мокрую обувку. Как по заказу, из-за куста на дорогу вылезло нечто грязное и оборванное. Присмотревшись, Гортан понял, что перед ним мутировавший гоблин.   
  
— Видать, одичал тут совсем, вот и я скоро таким же стану… — буркнул недовольный всем на свете герой и выхватил кривой кинжал.  
   
Схватка была быстрой. Несколько ударов — и тушка бывшего соплеменника валяется в грязи. Обыскав останки, Гортан чуть повеселел: узкие штаны были ему как раз впору. Теперь надо было отыскать в этой глуши какой-нибудь чистый водоём, чтобы хоть немного их отстирать. Да и отдохнуть не мешало. Мутант был глуп, но силён, и сумел таки несколько раз достать путника когтями.   
  
— Да сколько ж можно по этому болоту топать? Грязища, комары — звери, того и гляди, загрызут. Хоть бы местечко какое посуше попалось, отдохнуть не помешает.  
  
На миг в глазах у Гортана потемнело, а потом он обнаружил себя на полянке рядом с раскидистым дубом. Где-то неподалёку весело журчал ручеёк.   
  
— Ну вот, совсем другое дело, тут и дух перевести можно, — проворчал матёрый бродяга и стал устраиваться на привал.   
  
Не тут-то было! Прямо из-под дуба выскочила крыса и вцепилась гоблину в ногу.  
  
 — Да отвали ты, тварь! — заорал Гортан и попытался оторвать крысу от штанины.  
   
Та, не будь дура, тут же впилась гоблину в палец, да так, что достать кинжал было уже невозможно.   
  
— Чтоб тебя приподняло и прихлопнуло! — в сердцах крикнул ветеран.   
  
Поднялся ветер. Крысу приподняло и прихлопнуло.   
  
— Спасибо, — сказал в пустоту гоблин и, отрезав крысе хвост, положил его в и без того уже тяжёлый рюкзак.  
  
Ополоснувшись в ручье, перевязав раны и подкрепившись, Гортан повеселел. Он снял с пояса флягу с вином и вынул из кармана потрёпанную карту, с которой не расставался уже много лет. Оказалось, что до места назначения оставалось пройти всего ничего. Гоблин натянул на себя подсохшие узкие штаны, старые запихнул в рюкзак и решительно поднялся: ему очень хотелось добраться до города засветло. Нет, матёрый бродяга, конечно, не раз ночевал на тракте, но от возможности отдохнуть в тепле и уюте он не отказывался никогда. В предвкушении чистой постели, горячего ужина, кружки (а то и не одной) свежего пива и готовой на всё служанки Гортан зашагал быстрее.  
  
Дорога стала значительно лучше. Топкая грязь больше не пыталась разуть неосторожного странника, а в зарослях на обочине попадалась поздняя малина. Гортан, улыбаясь, начал беззастенчиво обирать ближайший куст.  
  
— Куды лапы тянешь? — из зарослей, воинственно размахивая Красной книгой, выбежал блюститель природы. — Знаю я вас! Сначала ягодку, потом веточку, потом глядь — и нет леса! Не трожь дары природы!  
  
— Да как же вы все меня задолбали сегодня! — с отчаянием в голосе воскликнул гоблин.   
  
— Ну, кто тут ещё по мою душу? Кому ещё малинки для усталого бродяги жалко, а? Вылезайте, гады!  
  
С другой стороны малинника показался медведь. Гортан как стоял, так и сел:  
  
— Да вы что, сдурели, что ли? Двое на одного?   
  
  
\*\*\*  
  
За пару часов до заката ветеран вошёл в город и сразу же направился к мэру.   
  
— Письмо держи, деньги давай, — не здороваясь, проворчал гоблин, спрятал монеты в кошель и, хлопнув дверью, пошёл на рынок сбывать хлам. Торговля не отняла много времени. За Красную книгу и лапу медведя он получил прилично, хоть и пришлось поторговаться.   
  
Солнце ещё не скрылось за горизонтом, а Гортан уже сидел в таверне, неспешно прихлёбывал пиво и делился впечатлениями о последнем задании с такими же, как он, потрёпанными Великим Трактом матёрыми бродягами."
Без драки день прожит зря,Книга героев,Строки на песке,"Сколько крови впиталось в Арену?  
Сколько было побед на ней?  
Сколько раз над нами гремело  
Беспощадно, с надрывом: “Убей!”  
  
Скольких из нас она помнит?  
Скольких с неё унесли?  
Может, мы тля для Арены,  
Но мы снова сюда пришли.  
  
Хищно беснуется публика,  
Восторженно крови ждёт.  
Кровожадные грохнут овации,  
Когда мой противник падёт.  
  
И не плачет по нам Арена,  
Мы воскреснем, смерть - не беда.  
Мы не ищем других вариантов,  
Ведь без драки день прожит зря."
Ты хочешь это продолжать?,Книга героев,Нетленные страницы — Смерть как она есть,"Народу в кабаке было, что называется, с избытком. Мало того, вздумай кто проверить, есть ли яблоку где упасть, наверняка увидел бы, как оно повиснет в воздухе, а если быть точным, в густом табачном дыму. Трубки курили два мага в дорогом эркере, восемь горняков и кучка гоблинов-паломников, которых никто не считал.   
  
– Можно? – спросил орк, протиснувшись сквозь толпу к столику с сидящей за ним уроженке полей.  
  
Девушка подняла глаза, кивнула. Напротив неё находилось всего одно место, занятое каким-то пожилым дварфом, но ей было плевать. Зелёный пусть хоть на бородача садится. Лишь бы не мешал пить.  
  
– Ну-ка, Ботор, сходи, проветрись, – прогудел подошедший, и дварф, вежливо поклонившись орку, исчез.  
  
– Я хотел с Вами поговорить, госпожа Светомира. Вы не против? Это ненадолго.  
  
Названная Светомирой глотнула из кружки, распустила пояс с мечом на одну дырку и только потом посмотрела на орка. Кожа цвета молочно-травяного отвара, крепкий, черноволосый. В общем, типичный.  
  
– Ну? – произносить что-то более содержательное слегка заплетающийся язык девушки не хотел.  
  
– Если я не ошибаюсь, Вы снова погибли. В шестой раз? Неужели Вы, юная красивая женщина, хотите это продолжать?   
  
Светомира вздёрнула бровь. Тринадцать. На этот момент уже тринадцать. Последний раз смерть догнала её чуть ли не под стенами города. Даже обидно. После подобного, как правило, хочется напиться. Собственно за этим она и здесь. Но вот орку-то какое дело? И откуда такая осведомлённость? И вообще интерес? Правду сказать, до знаменитой и уж тем более легендарной ей далеко.  
  
Орк, судя по всему, не понял заданного тонкой бровью вопроса:   
  
– Я могу Вам помочь. На юге у меня есть хороший знакомый. Он возьмёт Вас в охрану. Из города не выбирается, врагов почти не имеет. Щедро платит. Выгодно со всех сторон. Условие только одно – Вы забудете о моём существовании. Что скажете?  
  
 – Да кто ты вообще такой? Что ты ко мне прицепился? – всё-таки принудив себя к внятной речи, спросила девушка.  
  
– Что? Вы не знаете, кто я такой? Вы трижды перехватывали мои письма, собирали на меня компромат, помогаете моим конкурентам и при этом даже не знаете, как я выгляжу? Что я Вам сделал?!  
  
– Гро-Лангай. Советник. Вот и познакомились, – Светомира вспомнила и орочью мать, но сдержалась. – Три года назад. Кузнец Жародар. Помнишь?  
  
По глазам орка стало видно, что он помнит. Помнит, как разорил хорошего и честного человека, как оставил его почти без хлеба, как за долги вынудил его продать дом. Гро-Лангай потемнел лицом.  
  
– Не смейте мне тыкать, я советник, как Вы заметили! Не будьте идиоткой! Я делаю Вам отличное предложение. Оставьте меня в покое! Нарожайте детей, угомонитесь. Вы хотите всё время умирать, штопать рваные раны, а потом опять умирать? Ну, зачем Вам это? Из-за какого-то кузнеца, который уже умер? Но так не я же его убил!  
  
Девушка могла бы объяснить, что не может теперь завести семью, ведь её жених, попытавшийся вытянуть своего отца из долгов, пошёл на тракт зарабатывать деньги и погиб, не отойдя от родного города и на сутки. Она видела его тело. Могла сказать, что смерть виновника случившегося ей кажется слишком мягкой карой. Что она мечтает продолжать. Чтобы уничтожить его. Уничтожить все, что он любит. Чтобы он мучился, задавая себе вопросы: «За что? Почему?» -- и не находил ответы. Так же мучился, как мучилась она. Светомира могла бы объяснить, что сделал ей Гро-Лангай. Что именно благодаря ему она стала героем. Но она не хотела объяснять и, плеснув остатки пива тому в лицо, сквозь зубы процедила:  
  
– Пошёл вон."
Сто и один год в пути,Книга героев,Годы странствий,"Как я праздновал сто лет своих приключений! О, это было, что называется, с размахом. Гудел весь город. Ну а что? Сто лет – это Дата. С большой буквы. Мы с одноклановцами пили и гуляли трое суток. Заливая пивом карту Пандоры, я похвалялся тем, что уже везде побывал и всё посмотрел, что меня уже ничем не удивить.   
  
Как меня слушала молодёжь! Раскрыв рты, пытаясь скрыть трепет, делая вид, что им не интересны мои истории, что им плевать на мой опыт, славу! Однако, им было интересно, и меня раздувало от гордости, и я действительно думал, что больше не увижу ничего нового. Точнее не думал, а боялся. Я очень хотел, что бы мои путешествия оставались увлекательными и захватывающими. Я же ничего больше не умею, кроме как путешествовать. И я боялся.  
  
Зря. Следующий год не просто удался, а доказал, что всё впереди, что я не так уж много повидал. А началось-то всё просто…  
  
\*\*\*  
  
– Туча! Туча, ты слышал?!  
  
Я открыл глаз. Открывать два не рискнул: заливал вчера тоску-печаль, и по опыту знал, что если открою оба глаза, то демон-злопохмел тут же начнёт мне в голову копытом бить.   
  
В пределах видимости глаза стоял наш новенький, с месяц назад взяли в гильдию. Щуплый гоблинёнок по кличке Синица. Знал бы я, что он так орать станет по утрам, выступил бы против. Правда, его бы всё равно взяли, «за» были почти все, парень хорош.  
  
– Синица, – просипел я, – будешь орать, убью.  
  
– Переживу, – нагло ухмыльнулся гоблин, – не впервой.  
  
– Синица, я умею убивать долго, – проинформировал я, – до восьми часов. Так чего ты там щебечешь?  
  
– Город.  
  
– Что город? Толком говори, я по утрам не могу читать мысли.  
  
– А вечером можешь?  
  
– Убью, – пообещал я.  
  
– Ладно, понял. Где-то далеко на востоке построили город. Говорят, что это самый красивый город во всей Пандоре. Туда планируют тракт проложить, но многие не стали ждать, ушли уже сейчас.  
  
– Новый город, говоришь? И самый красивый при этом? А кто туда двинул?  
  
– Семеро равных, Горячие сердца и Лесные братья. Мощная заруба будет, да?  
  
– Похоже, – пробормотал я. – А ты давно узнал?  
  
– Вчера вечером. В “Битую тарелку” явился какой-то ходок… То ли Глухой, то ли Немой…  
  
– Слепой?  
  
– Во. Точно. Он-то и рассказал. Наши говорят ему верить можно, он трепаться не станет.  
  
– То, да. Слепой попусту не болтает, – согласился я с нашими. – А что же ты, Синица, мне вчера не рассказал?  
  
– Я хотел… но… ты с Малютой на спор пил. Сказал, что если я не исчезну и буду вам мешать, ты мне ноги сломаешь и за город вывезешь. Ещё что-то пообещал, но я не понял.  
  
Вот этого я не помнил напрочь. Интересно, кто выиграл? Малюта здоровее, но у меня-то опыта побольше будет.   
  
– А что Батя? – спросил я, предвидя ответ.  
  
– Выходим через два часа. Батя сказал, что если Лесные дойдут раньше нас, то он нам всем репрессии какие-то устроит.  
  
Я осторожно поднялся. Демон с треклятым копытом был тут как тут. Морщась и проклиная Малюту, брагу, весь белый свет и это утро, я принялся одеваться и только тогда заметил, что гоблин стоит с каким-то свёртком в руках. Проследив за моим взглядом, Синица начал мяться и чего-то бормотать:  
  
– Да это самое... Это я на рынке был, ну и... того. А ребята говорили, что ты уже... ну, сто лет и ещё год, как тракты топчешь. Так вот я... Сшил. Тебе. Но не в том смысле, чтоб ты чего подумал, а только из-за даты. Как в сказке, вроде. Сто и один год… В общем, это...  
  
Он совсем смутился и протянул мне свёрток. Развернув не очень чистую ткань, я обнаружил рюкзак. Крыса меня покусай, это был лучший рюкзак из всех, что я видел. Этого не описать. Всё в нём было прекрасно. Материал, карманы, лямки, размер. Словом, всё было, как нужно.   
  
– Синица, я... – настал мой черёд мямлить, – я ничего лучше не видел. Правда. Не знаю, что и сказать.  
  
– Рад, что тебе понравилось, – улыбнулся гоблин, – я пойду собираться. Ага?  
  
Я кивнул, и он вышел. Через два часа мы двинулись на восток. Всей гильдией. Настроение было прекрасным. Все мои пожитки отлично поместились в сшитом Синицей рюкзаке. А так-то поздравили меня все. Ничего не дарили, конечно, в нашей гильдии это не принято.  
  
Потом был новый город... Ух, что это было за место! Белые башни, украшенные барельефами, уходят под самые облака, улицы широкие, мощёные, зелень кругом, деревья раскидистые, кронами над дорогами сходятся, одним словом - красота. Сколько тогда крови было пролито за эту красоту! Но мы всё же взяли верх. Лучший в Пандоре город стал нашим.   
  
Кстати, рюкзак до сих пор со мной. Ни разу не подвёл…  
  
О-о! А вот и мой лучший друг. Синица, садись, дорогой! Я тут дамам рассказываю, как мы с парнями над тобой издевались, когда ты ещё щенком был, как за пивом в кабак гоняли. Помнишь?"
