Название,Свойства,Описание
Эгоцентричный,"пассивная,мирная","Герой чаще выбирает задания, связанные со своими предпочтениями."
Ходок,"пассивная,для спутника",Ходоки знают как лучше использовать дорожные особенности спутников.
Боевой товарищ,"пассивная,для спутника","Герой обращается со спутником как с боевым товарищем, благодаря чему улучшаются все боевые особенности спутника."
Бухгалтер,"пассивная,для спутника","Герои с бухгалтерской жилкой ответственно подходят не только к своему имуществу, но и к имуществу спутника. Способность улучшает денежные особенности спутника."
Импровизатор,"пассивная,для спутника","Герой всегда готов помочь своему спутнику в любых его делах, что усиливает его необычные особенности."
Заботливый,"пассивная,для спутника","Окружённый заботой героя, спутник увеличивает своё максимальное здоровье."
Товарищ,"пассивная,для спутника","Путешествия со спутником сложны и требуют от героя особых навыков. Умение по-товарищески относиться к спутнику определяет максимальную слаженность спутника. Она увеличивается на 20 за уровень способности. При сбросе навыка заработанная слаженность не теряется, но ограничивается его актуальным значением."
Врачевание,"пассивная,для спутника","Умение обращаться с ниткой, иголкой и хирургическим ножом позволяет иногда восстановить немного здоровья живому (растения, животные, разумные двуногие, хладнокровные гады, насекомые) спутнику."
Магомеханика,"пассивная,для спутника","С помощью плоскогубцев, проволоки и толики магии магомеханик иногда может отремонтировать своего магомеханического (конструкты) спутника."
Ведовство,"пассивная,для спутника","Герой, сведущий в нетрадиционных областях знаний, иногда может восстановить здоровье особого (стихийные существа, демоны, нежить, чудовища) спутника."
Коммуникабельность,"пассивная,для спутника","Хороший разговор сближает лучше кровавой стычки, коммуникабельный герой быстрее увеличивает слаженность живого (растения, животные, разумные двуногие, хладнокровные гады, насекомые) спутника."
Обслуживание,"пассивная,для спутника","Каждому магомеханическому (конструкты) спутнику требуется регулярная смазка, или подзарядка кристаллов, или ещё какая-нибудь заумная операция. Чем ответственнее герой относится к обслуживанию своего спутника, тем быстрее растёт его слаженность."
Сакральность,"пассивная,для спутника","Особые (стихийные существа, демоны, нежить, чудовища) спутники настолько необычны, что герою приходится учиться думать как его напарник. Если герою удаётся найти схожие струны в душе спутника, то их слаженность начинает расти быстрее."
