Название,Вымышленный автор,Автор,Монстры,Уровень,Тип,Сила,Материал,Оружие,URL в игре,Текст
Хундсгугель,Вегус,Александр и Елена,мортбеллатор,60,шлем,физическая,металл,нет,https://the-tale.org/guide/artifacts/403,"
> Да не странный он, этот шлем, а специально так выкован, с клювом-забралом особым. Чтобы лицо защитить от ударов копья. Вот ткнут тебя в лицо копьём, а что твой цервельер сделает? А ничего, совсем мёртвый ты будешь. Вот если б на тебе был хундсгугель, копьё бы по клюву вбок скользнуло, и в этот момент ты сам врага своего достал бы. Да и этим самым забралом можно довольно сильно клюнуть во время боя — мало не покажется. Ценнейшая, ценнейшая вещь… А чёрный он потому что трофейный. Откуда — не скажу, но треть цены уступлю, если прямо сейчас купишь… Ну вот, отличный выбор, только протри перед тем, как надеть...

***Из бесед Вегуса***"
Глаз шотока,Перкунос Седой,Александр и Елена,шоток,58,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/348,"
> В день, когда деву молодую в жёны отдавать будут, надобно жениху обряд особенный совершить. Нужно энто для того, чтобы семья крепкой была и злой мыслью или глазом кто на пиршестве праздничном не навредил.  
>   
> Взять требуется сметаны крынку, творога другую и орехов, какие найдутся, пригоршню, а такоже глаз шотока, в водке замоченный. Затем следует всё, окромя последнего, смешать и в пищу жениху употребить. Пока есть молодой будет, над главой егонной муж зрелый глаз шотока держать должен и наставления по обхождению с женой давать. Коли обряд энтот свершённым будет, никто семье новой в дни первые не навредит.

***Перкунос Седой «О мире и жителях егонных», том пятый***"
Хрустальная крошка,Хан и Туан,Александр и Елена,хрустальный барс,56,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/350,"
> Хрустальная крошка – это мелкий порошок, основной частью состава которого обычно является измельчённый хрусталь. Однако, необходимо отметить, что в особо качественной категории этого продукта присутствуют имеющие почти пыльцеобразное состояние когти хрустального барса.  
>   
> Одной из сфер использования данного порошка является тонкая шлифовка разнообразных материалов. Также он применяется во врачевании, для свода татуировок, и зуболечении. Хрустальная крошка часто выступает в качестве абразива при подделке документов.

***«Большая энциклопедия Хана и Туана», том двадцать восьмой***"
Сухие цветы,Виен-Нгуен и Эллунир,Александр и Елена,ырка,61,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/346,"
> – Виен, сегодня я расскажу тебе об ырке. Эта нежить классифицируется как бестелесная. Конечно, как обычно и бывает, плотность у неё есть, но практически не ощутимая... Впрочем, я, пожалуй, начну с романтики. Нередко ырку можно увидеть с букетом высохших полевых цветов. Она собирает их на могилу своего близкого, который обязательно покоится где-то неподалёку.  
>   
> Романтика заключается в том, что ырка – это дух убитой, совершенно буквально, горем женщины, которая умерла плача на могиле мужа, реже – ребёнка.  
>   
> Наука не знает, при каких условиях дух не находит покой. Точно известно только одно – слабому некроманту не под силу подчинить ырку. Кстати! Ырки довольно редко нападают на группы путешественников, а вот одинокого странника рассматривают как врага. Почему? Этого мы тоже не знаем, но, помимо всяких крестьян, купцов да этих пресловутых героев, немало и самонадеянных некромантов погибло от рук полевого призрака.

***Из лабораторного журнала Виен-Нгуен, ученицы Эллунира***"
Светящийся глаз,Переяр,Александр и Елена,ырка,61,амулет,магическая,энергия,нет,https://the-tale.org/guide/artifacts/345,"
> ...Так вот. Когда ырка в траву у дороги-то опустилась, от неё словно облако маленькое отлетело. Не знаю уж, что это, но выглядело жутковато... Отчего? Как бы тебе это объяснить? Чувство странное появляется, не по себе как-то. Ну, да демоны с ним, с чувством. В траве, значит, остался этот шарик. Тут учёным быть не надо, чтоб понять, глаз это. А стоит тебе знать, что ыркин глаз – это не просто бирюлька. Это сильный амулет. Одень-ка...  
>   
> Чувствуешь прилив сил?.. Ага. Так и есть. Возьми вон кочергу согни.

***Из бесед у камина со старым Переяром***"
Айлетты,Переяр,Александр и Елена,гиан,11,наплечники,магическая,кожа,нет,https://the-tale.org/guide/artifacts/396,"
> Вообще-то не очень хорошая от них защита. Но бывают и весьма искусно сделанные. Особенно раньше такие наплечники умели изготавливать. Сейчас айлетты носят либо большие любители, либо если, в аккурат, работа исключительная...  
>   
> Нет, их-то как раз у меня нет. Но ты наверняка видел. Прямоугольная кожаная пластина, иногда обтянутая тканью. Крепится у шеи или вверху руки, на плече. Иногда на них аппликации делают. Благородных кровей эльфы на айлеттах часто свои гербы рисовали.  
>   
> Сам я айлетты почти и не носил. Однажды нашёл останки чьи-то, у которых гиан крутился. Ну его, стало быть, останки... Так вот, как я дух тот упокоил, гляжу, среди одежды полусгнившей и костей наплечники лежат. Старые, потёртые, но с инкрустацией дорогой, так ещё и волшебные. Продал их в городе выгодно, а себе другие взял.

***Из бесед у камина со старым Переяром***"
Расшитые пулены,Очирбат и Йорл,Александр и Елена,ванахальб,5,обувь,равновесие,кожа,нет,https://the-tale.org/guide/artifacts/398,"
> – Вот в чём действительно ходить невозможно! На кой тебе туфли с такими длинными носами, Очирбат?  
>   
> – Ты, Йорл, ничего в шике и роскоши не соображаешь. Они называются пуленами и вошли в моду от эльфов. Те в красоте ведь разбираются. Иль нет?  
>   
> – Эльфы-то? Разбираются. Только обувь такая в моде у них была лет пятьсот назад.  
>   
> – А сейчас опять популярной становится. Хочу заказать себе. Увидел у Каиниллина, дорогущие, длинные. Ему ходок принёс, с ванахальбовых останков подобрал. Видать, какой-то богатый эльф помер. Мне понравились, хотя работа, конечно, не очень... Я прочитал специально, что у остроухих простые горожане носили пулены с носами в длину стопы. Купцы в полторы. У мелкой аристократии носы таких туфель были в две стопы, а у советников и прочей высшей знати в две с половиной стопы. Представляешь? Во-от такие! А я ж ходок? Небось, не хуже их знати. Мне орк-башмачник сошьёт с носами в три!  
>   
> – Друг, это уродство какое-то, клянусь Искрой и Амулетом. Тот эльф, ванахальбом ставший, оттого и сгинул, что идиот, по лесу в такой обуви ходил... Бегать-то не мог. А друзья его, видать, могли.  
>   
> – Ты послушай! Пулены теперь расшивают золотой нитью, самоцветами, жемчугом. А очень длинные носы загибают кверху и привязывают у щиколотки красивым шнурком или крепят на цепочку. Золотую, а? Да в таких туфлях все оркессы мои!  
>   
> – Чирба, а как ты в них драться будешь?  
>   
> – Ну... Как на тракт выходить, буду переобуваться.  
>   
> – И в рюкзаке их носить?  
>   
> – Да.  
>   
> – Потеряешь. Или бросишь, когда выбор станет: пулены или ценный трофей.  
>   
> – Йорл.  
>   
> – Чего?  
>   
> – Падла ты.  
>   
> – Это да. Но смотреть на такие ситуации нужно позитивно.  
>   
> – Ну?  
>   
> – Деньги, которые ты отложил на этот стыд, можно пропить.

***Очирбат и Йорл «Снова за работу»***"
Лунное лезвие,Каиниллин,Александр и Елена,наркоман,22,основная рука,равновесие,металл,нож (урон: колющий / режущий),https://the-tale.org/guide/artifacts/231,"
> Заходи, путник. С тобой всё хорошо? Что-то ты как-то не здорово выглядишь… Отлично. Чем интересуешься?..   
>   
> Конечно. У меня в лавке представлен огромный ассортимент всевозможного оружия. Даже самый взыскательный покупатель сможет найти здесь что-нибудь для себя подходящее. Так что конкретно тебе нужно, или ты ещё пока не определился?.. Короткие клинки. Что ж взгляни на вот этот превосходный кинжал. Рукоять оплетена кожей особым образом, так чтобы даже влажная ладонь не скользила по ней. Классической формы клинок, отличная закалка, одним словом прекрасная работа… Нет? Так, а что тебе не нравится?..   
>   
> Тяжеловат? Тогда вот посмотри на этот кривой нож. Великолепная сталь и мастерство изготовителя позволили добиться исключительной тонкости клинка. Его идеальная заточка даёт возможность делать практически незаметные надрезы... Сталь? Особый сплав, хранящийся в секрете. Знаю лишь, что светлая она, благодаря серебру. Но, судя по твёрдости и прочности клинка, серебро тут только для цвета. Это, вне всякого сомнения, отличное оружие даже для бывалого воина. Называются такие ножи — лунные лезвия. Обычно они стоят куда больше, но я тебе продам его за…  
>   
> Вот и хорошо. По рукам.

***Купец Каиниллин «Торг с путешественником»***"
Книга пламени,Каиниллин,Александр и Елена,мастер огня,33,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/305,"
> …Книга огня, том второй?! Безусловно, я куплю. Это же большая редкость! Где ты её нашел, о наисимпатичнейший из гоблинов?..  
>   
>  Сам?! Сам одолел мастера огня, и у того была книга? Молодец! Представляешь ли ты, как тебе повезло?.. Сколько-сколько?!. Да, похоже ты неплохо представляешь. Ладно, будь по твоему, наихитрейший из странников…  
>   
>  Ну, вот. Хоть и впрямь, второй том книги огня редко встретишь, заплатил я тебе не мало, даже больше, так что надеюсь, в следующий раз ты понесешь трофеи ко мне… Отлично. До встречи… Пока-пока,.. мелкий зеленый поганец.

***Купец Каиниллин «Торг с путешественником»***"
Слюна наги,Хан и Туан,Александр и Елена,нага,18,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/145,"
> В состав дорогостоящих косметических мазей и кремов, как правило, входит слюна наги. Этот компонент способствует улучшению цвета лица, появлению естественного румянца, препятствует возникновению первых признаков старения кожи у людей и гоблинов.   
>   
> Существенным недостатком слюны наги является сложность её алхимической обработки, а также высокая стоимость сырья. Из-за нестабильности рынка продаж данного компонента, торговцы существенно завышают его реальную стоимость. Однако, спрос на косметические средства с добавление слюны наги остается устойчивым и имеет тенденцию к росту.

***«Большая энциклопедия Хана и Туана», том восемнадцатый***  
"
Мех подыльника,Хан и Туан,Александр и Елена,подыльник,3,плащ,равновесие,шкура,нет,https://the-tale.org/guide/artifacts/140,"
> Мех подыльника отличается прекрасной влагостойкостью. Плащ из такого меха очень плохо намокает и прекрасно держит тепло. Длинный довольно жесткий ворс также предохраняет своего носителя от рубящих ударов и часто становиться хорошим дополнением к экипировке воина.   
>   
> Выделка меха Подыльника это сложный процесс, занимающий, как правило, немало времени. Для качественной обработки такой пушнины требуются довольно дорогие компоненты: кора мимозы, сандаловое масло, сельдевая печень. Поэтому изделия из него стоят намного дороже, нежели сырьевой продукт. Плохо выделанный мех быстро теряет свои достоинства и изнашивается.

***«Большая энциклопедия Хана и Туана» том шестой***"
Разбитая колба,Переяр,Александр и Елена,сбежавший эксперимент,9,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/93,"
> … Ты ж знаешь, не доверяю я алхимикам. Эти их эксперименты сбежавшие. Это ж кошмар. Ладно я. А обычный человек наткнётся? И без того монстров пруд пруди! Ещё эти твари!  
>   
>  Главное ведь у них зачатки интеллекта бывают. Хоть и редко. Чаще-то, так… как та сорока! Точно! И, сволочь, ещё прихватит из лаборатории, с которой сбежал, блестяшку какую-нибудь, часто колбы разбитые…

***Из бесед у камина со старым Переяром.***"
Нюхательный табак,Перкунос Седой,Александр и Елена,боец Серого Ордена,43,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/183,"
> …Мужи те наиблагороднейшие растят нюхательный табак. Это удовольствие для знатных господ многие лета назад придумали в первом замке Серого Ордена. Поставляют оный в дома управителей городских, купцов известных и многих рыцарей славных. Кажный аристократ, себя светским львом считающий, должен табак нюхать и в сортах разбираться. Ни один бал нынче без табака энтого не проходит, и люд культурный за столами специальными сидит, табак нюхает и беседы политические ведёт.

***Перкунос Седой «О мире и жителях егонных», том одинадцатый***"
Плоть гиана,Виен-Нгуен и Эллунир,Александр и Елена,гиан,11,хлам,физическая,неизвестен,нет,https://the-tale.org/guide/artifacts/397,"
> – Упокоить его нужно в тот момент, когда он на мгновение обретёт материальную форму. В этом случае есть вероятность того, что от гиана останется часть этой формы.  
>   
> – Поняла. Такой материал очень ценен для исследований и обучения. Жаль, что это единственный способ его добыть…  
>   
> – Строго говоря, да, Виен. Но по миру ходит много героев. Они порой продают плоть гианов в городские лаборатории. Там тоже проводятся исследования, правда, с иной целью. Ищут более эффективные способы борьбы с нежитью… Так вот, можно купить у героев, можно перекупить у торговцев и городских магов. Умные некроманты имеют своих поставщиков в нескольких городах.  
>   
> – Учитель…  
>   
> – Да, Виен?  
>   
> – Ты же не просто умный? Ты очень умный.  
>   
> – Всё верно. У меня есть немного плоти гиана. И сегодня ты займёшься её исследованием. Я ведь не просто так завёл этот разговор.

***Виен-Нгуен «Наставления учителя Эллунира»***"
Дырявый кошель,Переяр,Александр и Елена,борец за справедливость,4,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/106,"
> Нет. Это не трофей. Ну чтоб я дырявый кошель в коллекции держал?.. Нет, ты что. Это заходил как-то знакомый борец за справедливость. Помнишь, я рассказывал?.. Так вот. Посидели, повспоминали. Тут замечаю, у него кошель дырявый. У нас же как, борцы за справедливость всегда нищие. Ну я ему подарил хороший, новый, из кожи гидры. А свой он так и оставил спьяну… Нет, не надо выкидывать…  
>   
>  Пусть на память мне останется. Он умер недавно. Хороший парень был. Неупокоенные пополам разорвали.

***Из бесед у камина со старым Переяром***"
Костяной цеп,Очирбат и Йорл,Александр и Елена,склеповник,60,основная рука,магическая,кость,кистень (урон: ударный),https://the-tale.org/guide/artifacts/363,"
> – Чирба, что ты ковыряешься в этой дряни?  
>   
> – Кости смотрю.  
>   
> – Странно проявляется у тебя твоя орочья любознательность. Давно тебя нежить привлекать стала?  
>   
> – Отстань Йорл, не мешай. О! Глянь.  
>   
> – Фу, Чирба, а чтоб тебя! Выкинь.  
>   
> – Хы-гы-гы. А жрать тебе потом и пиво лакать не фу будет-то, а?  
>   
> – Не понял.  
>   
> – Да ясен шаманов бубен, что ты не понял. Небось, не слыхал, из чего костяные цепы делают?  
>   
> – Да какая разница? Металл, есть металл, ну или камень.  
>   
> – Ну-у... Бороду отрастил, а ума-то, как не было, так и нет!  
>   
> – Не умничай, рассказывай.  
>   
> – Из костей склеповника делают цепы. Ценятся очень. Потому как лёгкие, костяные ж, и прочные, что твой металл. Я пару раз видел, как ими работают-то. Скажу, оружие – не бабам на охоту ходить. Короче, морду-то не корчь, а кости вот эти бери и в рюкзак пихай себе.  
>   
> – Чирба, а чё эт мне?..

***Очирбат и Йорл. Патрулирование трактов.***"
Буро-зелёные штаны,Лялислав Бездомный,Александр и Елена,мать анаконд,31,штаны,равновесие,кожа,нет,https://the-tale.org/guide/artifacts/252,"
> Если кому-то доведется повстречать на своем пути мать анаконд, можно смело сказать, что он крупно встрял в неприятности. Это создание крайне опасно и, как и с большинством гадов таких размеров, редко у кого, получается завести с ней приятельские отношения. Даже знаменитые дрессировщики змей из дальних земель пасуют пред этой тварью. Мать анаконд отличается вредностью характера и превосходным аппетитом.   
>   
> Но если все же кому-то удастся победить её, нужно радоваться. И не только потому, что остался жив, но и потому, что, скорее всего, ты стал обладателем прекрасной буро-зеленой кожи.   
>   
> Во-первых, такую вещь без труда по высокой цене, как говорится, с руками заберут почти в любом городе. То есть, долго таскаться с ней не придётся.   
>   
> Во-вторых, из неё можно сделать самому, ну, естественно, если руки из плеч растут, а не из другого места, или заказать отличные штаны. Сам такие не носил, но у эльфа одного видел. Крепкие, не факт что обычным шилом сразу проткнёшь, соответственно защита для ног хорошая. Легкие, удобные, в бою движения не стесняют вообще. Попали мы с тем эльфом в неприятности, довелось его доспехи и одежку в деле посмотреть. Ну и конечно штаны из змеиной кожи смотрятся красиво, стильно и со вкусом. В таких можно, как в путешествие отправиться, так и к высокородным дамам домой заглянуть.   
>   
> В общем, рассуждать долго не стану — штука хорошая.   
>   
> Сейчас я пару несложных выкроек на них дам и расскажу, как с портными о пошивке договариваться. Есть там несколько нюансов…

***Лялислав Бездомный «Записки путешественника»***"
Клык головонога,Каиниллин,Александр и Елена,головоног,1,амулет,магическая,зуб,нет,https://the-tale.org/guide/artifacts/21,"
> Безусловно, клык головонога — превосходный, для новичков, амулет, уж я-то в этом разбираюсь. Странник, приобретя его у меня, ты получишь скидку на все будущие покупки. Если, конечно, тебя хватит на то, чтобы выжить на наших неспокойных дорогах и снова посетить мою лавку.  
>   
> Амулет, который я тебе предлагаю, способен выручить в трудную минуту даже такого, уж прости, невзрачного авантюриста. И кстати, невзрачный, в свою очередь, вид этого клыка, его желтизна, навевающая неприятные ассоциации, оттенят твою, не блещущую, явно не эльфийско-статную внешность, сделают где-то даже почти привлекательной. На фоне, так сказать. К тому же, так как амулет это не слишком-то сильный, как ум орка-шамана, прошу я совсем немного…

***Купец Каиниллин «Торг с путешественником»***"
Эссенция ярости,Лялислав Бездомный,Александр и Елена,берсерк,15,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/129,"
> Да, в мире много всяких интересных штук, которые хочется попробовать, но делать это стоит очень осторожно, а лучше вообще не делать. А речь моя идет о наркотиках.   
> Есть вещи в принципе безопасные, ну так, войдут в привычку, будут твой организм медленно гробить. Это в основном курительных смесей касается. Половина дварфов смолят разные травки и ничего, живут. Хотя видел я одного бородача, который трубкой баловался, так вот, он когда кашлял, а делал он это часто, у него изо рта маленькие такие черные комочки с кровью вылетали. Я, конечно, не лекарь, но что-то мне подсказывает, что то его легкие были.   
>   
> Ну, это еще ничего, есть штучки куда забавнее, например, эссенция ярости. Её в небольшом количестве с соком маковым мешают и в молоко добавляют. Если переборщишь — может сердце встать, а могут видения так далеко унести, что начнешь буйствовать да вокруг все крушить. Женщины, старики, дети, все тебе врагами смертельными и монстрами представляться будут.   
>   
> Знал я парня одного, который расслабиться с помощью такого снадобья захотел, так он когда протрезвел и вспомнил, что натворил, вздёрнулся на вожжах в ближайшей конюшне.   
>   
> Нет, безусловно, есть те, кому удаётся, наглотавшись этой дряни, поиграть в герань на окне или в ночного мотылька, мерно порхающего в серебристых лучах луны, но по мне, так риски неоправданно велики, уж лучше водки орочей до беспамятства надраться.   
>   
> Одно могу сказать, покупается эссенция ярости отлично, в любом городе такой трофей нарасхват идет. Вот только радоваться этому или нет, я даже не знаю.

***Лялислав Бездомный «Записки путешественника»***"
Астральное жало,Лялислав Бездомный,Александр и Елена,зазовка,4,основная рука,магическая,кость,нож (урон: колющий / режущий),https://the-tale.org/guide/artifacts/8,"
> Немало я в своей жизни за время странствий чудаков повидал. Много кого насмотрелся.   
>   
> Например, встречал орка, что волосы свои в зелёный цвет красил, или дварфа, который бороду всегда в сорок одну косичку заплетал, причём объяснить, почему именно это количество кос ему нравилось, он не мог. «Нравится, так по-мужски», — и все дела. Сорок две не по-мужски, сорок — тоже, а вот сорок одна — в самый раз.   
>   
> Ещё гоблина знаю, так он разные перчатки носит: одна красная, другая белая, одна жёлтая, другая чёрная, в остальном абсолютно обычный гоблин. Что у него в голове происходит?.. Почему разные?..   
>   
> Среди длинноухих тоже чудаков хватает. С эльфом одним как-то путь мне выпал. Парень приветливый, несмотря на свою внешнюю надменность, весёлый, если живой ещё — здоровья ему крепкого. Так вот, он жалом с хвоста зазовки воевал. Учёные мужи такие жала астральными зовут. Они длинные и очень твёрдые, но это же кусок демона... Эльф тот основание резьбой украсил, гарду на получившуюся рукоять посадил. Лезвие получилось в две пяди длиной, тонкое, чуть изогнутое. При взмахе за жалом будто лёгкий дымок тянется, незаметный почти. По словам того парня, оно и материальное и нематериальное одновременно, очень сильное энергетическое отражение имеет. Потому и пробивает толстую шкуру монстров или крепкие доспехи воинов.  
>   
> Затейливая штуковина, правда? Конечно, немало в мире вещей магию в себе несут, и астральное жало зазовки в бою опаснее иного меча или кинжала. Но мне такое оружие кажется неудобным.  
>   
> Впрочем, людей я сколько, мягко говоря, оригинальных видел, это, как говорится, ни в сказке сказать, ни пером описать. Куда больше, чем эльфов, и с не менее странным снаряжением.

***Лялислав Бездомный «Записки путешественника»***"
Фибула,Переяр,Александр и Елена,ванахальб,5,хлам,магическая,металл,нет,https://the-tale.org/guide/artifacts/399,"
> Ванахальбы, как правило, встречаются вблизи своих останков. Простых путников уводят куда-нибудь, и в сторонке того… убивают. Но если ванахальб тебе голову затуманить не смог, и ты его сразу прогнал, то оглядись. Можно чего ценного найти.  
>   
> Я как-то подобрал старинную фибулу. Во-от такая, золотая, с резьбой. Продал коллекционеру за большие деньги…  
>   
> Некоторые и сейчас плащи фибулами закалывают. Их много разных бывает, но суть одна – дужка с иглой. Медные есть, серебряные, даже костяные. С инкрустацией, резьбой затейливой. Это одновременно и украшение… Кстати! Завалялась тут у меня одна. Не с ванахальба, не волнуйся. Просто красивая вещица. Матери подаришь.

***Из бесед у камина со старым Переяром***"
Холодящий камень,Лялислав Бездомный,Александр и Елена,кера,24,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/214,"
> …Ещё одной, абсолютно не обязательной в снаряжении, но полезной вещью, особенно для тех, кто собрался странствовать в жарких краях, является холодящий камень.   
> Выглядит он незатейливо: небольшой, с треть ладони человека, плоский, гладкий, черный, чем-то напоминающий гальку, булыжник.  
>   
> Если покупать его, стоит он порядком. Штука это в лавках ходовая, спросом пользуется, поэтому уболтать торговца скинуть цену на него редко у кого получается. Так что если решил обзавестись такой вещью, стоит сразу готовиться к солидной трате денег.   
>   
> Хотя есть ещё один вариант заиметь у себя холодящий камень. Правда, подходит он далеко не всем. Для него надо быть более-менее неплохим бойцом. Если же оружие в руках уже не первый год и не один василиск был за плечами, то тогда раздобыть тот самый булыжник не составит почти никакого труда.   
>   
> Достаточно будет полазить по лесам, что пораскидистее, потом найти и убить там тварь, которая называется кера. Покопавшись в том, что от неё останется, а к слову, остаётся от неё мало чего, каждый довольно быстро наткнется на покрытый инеем камень – это и будет тот самый искомый трофей.   
>   
> Использовать его просто: суёшь в рюкзак к продуктам, которые неплохо было бы в холоде держать, или заказываешь фляжку, в которую его изначально вшивают. В первом варианте продукты портятся хуже, во втором у тебя всегда есть холодная, до ломоты зубов, вода. В пустыне такая вещь, конечно, сильно настроение повышает.   
>   
> Ещё нужно сразу предупредить: холодящий камень иногда надо подзаряжать, то есть где-то раз в год оставлять его в леднике, на сутки-двое. Тогда он работать очень долго будет и со временем не потеряет свои необычные свойства.

***Лялислав Бездомный «Записки путешественника»***"
Камень крови,Каиниллин,Александр и Елена,каменный великан,38,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/223,"
> Здравствуй, здравствуй. Давно тебя не было, я уже начал думать, что ты сгинул… Рад ли я? Безусловно! Тебя я рад видеть всегда. Мы же эльфы… Хорошо-хорошо, мы же росли вместе. Хотя это, как правило, для других рас, глупых и менее развитых, мало что значит… Я вижу, твой рюкзак чуть ли не рвется от груза, ты что на продажу принёс или так, с припасами переусердствовал?..   
>   
> Ну показывай, подумаем, что из этого продать удастся. Хотя подожди, сейчас я дверь закрою, а то еще придет кто, отвлекать будет.   
>   
> Так-так, в общем неплохо. А это что за каменюга? И в чем она испачкана? Почему не вытер-то?.. Камень крови? Действительно?.. Фу-фу-фу гадость-то какая!.. Нет, продать-то я его продам, не будь я Каиниллин, несомненно, лучший купец современности. Но ты знаешь, что за подобные вещицы можно и на шибеницу попасть?.. Почему? О-о, тебе вместо того что бы валандаться по трактам стоило бы уделить время повышению собственной эрудиции. Камень крови это не только специфический трофей, который можно достать победив каменного великана, но ещё это отличный материал для изготовления алтарей используемых в ряде ритуалов, между прочим, запрещенных в большинстве городов…  
>   
> Нет, не переживай у меня не будет неприятностей, я даже уже знаю кому его продам… Насколько это всё вытянет? Давай, как обычно: я реализую, десять процентов моих, остальное всё твоё. Или тебе сейчас деньги нужны?.. Ну, вот и хорошо. Разувайся, скидывай свой пыльный плащ, и пойдём я тебя вином угощать буду, заодно расскажешь, чего так долго не появлялся.

***Купец Каиниллин «Торг с путешественником»***"
