Название,Вымышленный автор,Автор,Уровень,Тип,Архетип,Интеллект,Общение,Структура,Особенности,Передвижение,Форма тела,Размер тела,Положение тела,Оружие,Способности,Территория,Добыча,URL в игре,Текст
Аристократ,Перкунос Седой,Александр и Елена,17,разумные двуногие,авантюрист,нормальный,"вербальное,жестовое",живая плоть,одежда: хорошо,2 ноги,гуманоидное,средний,вертикальное,меч (урон: колющий / рубящий; материал: металл; тип силы: ближе к физике),"Слабый,Худой,Удар","хвойный лес,хвойный лес на холмах,лиственный лес,лиственный лес на холмах","тонкие перчатки,монокль",https://the-tale.org/guide/mobs/12,"
> Аристократ — энто один из лучших представителей нашего мира. Оный являет собой развитость умственную, доблести и чести образчик.  
>   
> Повстречать его в лесу можно, когда оный прогуливается и размышляет.   
>   
> Никогда нельзя ослушиваться тех, чей род велик и знатен. Энто глупостью будет, особливо если аристократ узнает, что ты егонных наказов ослушался. Будь честен с личностями такими и никогда не смотри им в глаза, если токма они сами того не потребуют.   
>   
> Особенно знатные господа редко обращают внимание на простой народ, но не серчай на них, они заняты мыслями великими, обычному крестьянину недоступными.   
>   
> Если аристократ окажет тебе честь особую и дарует монету золотую, прими её и благодари его так крепко, чтобы оный, вспоминая тебя, радовался. Тогда и в следующий раз, как вы повстречаетесь, дарует оный тебе монету.   
>   
> Но запомни, ни в каком разе не надоедай своим присутствием и не клянчи подаяний. Аристократ всегда доподлинно знает, кто заслужил милость егонную, а кто нет.

***Перкунос Седой «О мире и жителях егонных», том первый***"
Смрадень,Лялислав Бездомный,Александр и Елена,36,животные,маг,инстинкты,жестовое,живая плоть,"запах: падаль,хвост,шерсть: средней длины",4 лапы,кошачье,маленький,горизонтальное,"когти (урон: рвущий; материал: роговое образование; тип силы: равновесие),клыки (урон: кусательный; материал: зуб; тип силы: ближе к физике)","Критический удар,Удар,Ядовитость,Ошеломление","зелёные холмы,луга,лиственный лес,лиственный лес на холмах","тёплые сандалии,смрадянка",https://the-tale.org/guide/mobs/120,"
> Никогда не считал себя брезгливым, в пути на многое насмотришься, а иногда и во многое влезть, как говорится, по шейку придётся, но некоторые вещи даже для меня чересчур уж противные. И дело тут вовсе не в моральных принципах, типа: «Фу-фу-фу, я не стану лезть в то, что уже раз ели», — или: «Это ниже моего достоинства, копаться в отходах чьей-то жизнедеятельности». Дело в моем желудке. Ну не способен он кое-что переносить.   
>   
> Например, недавно я достаточно близко, гораздо ближе, чем мне бы этого хотелось, познакомился с одним монстром. Имя у него говорящее — смрадень. И теперь я точно знаю, что такое действительно убийственный запах.   
>   
> Не могу себе представить, какое при встрече с этой тварью нужно иметь самообладание, чтобы сдержаться от непреодолимого желания вытащить всё свое нутро вместе с обедом, ужином и завтраком наружу, и немного дать ему проветрится.   
>   
> Когда сражаешься со смраднем — ещё ничего, терпимо. Ощущение опасности как-то успокаивает не на шутку разыгравшийся бунт в твоем животе, но как только бой заканчивается, и ты чувствуешь запах поверженного врага, сдержаться невозможно. К слову, выглядит этот монстр совсем не противно – в темноте можно спутать с крупной лохматой кошкой. Но воняет так, как не воняет, я уверен, ни одна свинья в мире. Да и злости в нём не по-кошачьи много, как в паре порядочных шайтанов, вместе взятых.   
>   
> Вот даже зная, что перетерпев совсем недолго его смрад, можно обзавестись довольно неплохими трофеями, мне не удается найти компромисс со своим организмом. Хотя для него было бы немало выгод, по меньшей мере, его бы лишний раз покормили или приласкали, а если повезёт — и то и другое сразу. Но нет, воротит и всё, ничего с этим не могу поделать.

***Лялислав Бездомный «Записки путешественника»***"
Хищный кустик,Хан и Туан,Александр и Елена,5,растения,авантюрист,рефлексы,жестовое,дерево,"кожа: кора,худой",ползает на корнях,древоподобное,средний,вертикальное,шипы (урон: рвущий / колющий; материал: дерево; тип силы: ближе к физике),"Слабый,Удар,Быстрый","хвойный лес,хвойный лес на холмах,лиственный лес,лиственный лес на холмах,заболоченный лес,заболоченный лес на холмах,джунгли,джунгли на холмах,мёртвый лес,мёртвый лес на холмах","живой корень,удилище",https://the-tale.org/guide/mobs/4,"
> Априногус изумрудный из семейства тёрновых, в простонародье он же хищный кустарник. Имеет древовидное строение с мелкими сочно-зелеными листьями. Цветет и плодоносит редко, раз в пять шесть лет. Метельчатые резко пахнущие соцветия образуют что-то наподобие шляпки небольшого гриба.  
>   
> Произрастает в лесистой местности на хорошо освещенных и проветриваемых участках.  
>   
> Априногус обладает сложной внутренней системой волокон, которая позволяет ему быстро двигаться. Это растение является хищным, иногда из-за нехватки питания может перейти к паразитирующей на больших деревьях форме существования. Однако, в абсолютном большинстве случаев оно охотится на мелкого зверя.   
>   
> Выбрасывая вперёд длинные, сплошь покрытые шипами ветви, хищный кустарник захватывает добычу и, убивая сжатием, запускает в неё свои корни. Таким образом происходит естественный для него процесс питания.   
>   
> Это растение опасно для детей и невооружённых взрослых. Для профессиональных путешественников и охотников хищный кустарник является слабым противником и не вызывает страха…

***«Большая энциклопедия Хана и Туана» том первый.***"
Нук-секач,Лялислав Бездомный,Александр и Елена,7,чудовища,воин,инстинкты,жестовое,живая плоть,"глаза: красные,шерсть: короткая,глаза: светятся,шерсть: жёсткая",4 копыта,свиноподобное,средний,горизонтальное,клыки (урон: кусательный; материал: зуб; тип силы: ближе к физике),"Здоровяк,Удар","хвойный лес,хвойный лес на холмах,лиственный лес,лиственный лес на холмах,заболоченный лес,заболоченный лес на холмах","нуково копыто,нуковы клыки",https://the-tale.org/guide/mobs/5,"
> Большая энциклопедия Годда и Берида в томе одиннадцатом даёт, на мой взгляд, забавное описание нука:  
>   
> > Нук это часто встречающееся в лесистой местности животное. Как правило, нуки живут у небольших водоёмов, вдоль заросших камышом и кустарником берегов рек. Окрас имеют буро-черный, шерсть грубую щетинистую…
> 
> Добавлю, что многие учёные сходились во мнении, считая нуков прародителями кабанов. Нуки имеют похожее рыло, такие же точно клыки, копыта... На самом деле нуки не животные, а чудовища. Не так давно это доказали. Да и вообще мне странным видится тот факт, что здоровенные плотоядные твари могут быть предками домашней свинки, хоть внешнее сходство и имеется.  
>   
> Особенно опасным является нук-секач, то есть взрослый самец. Он значительно больше самки и, пользуясь своими мощными клыками, может нанести рваные, плохо заживающие раны. Монстр это очень выносливый и крайне крепкий здоровьем. У взрослых секачей на боках и спине часто образуется своего рода броня из свалявшейся шерсти, грязи и смолы, что еще более усложняет охоту на них. Нуки-секачи храбры и агрессивны.

***Лялислав Бездомный «Брильянтовый тракт»***"
Ревенант,Очирбат и Йорл,Александр и Елена,12,нежить,авантюрист,рефлексы,"жестовое,телепатическое",мёртвая плоть,"запах: падаль,кожа: бледная,глаза: остекленевшие (рыбьи)",2 ноги,гуманоидное,средний,вертикальное,"меч (урон: колющий / рубящий; материал: металл; тип силы: ближе к физике),клыки (урон: кусательный; материал: зуб; тип силы: ближе к магии)","Сильный удар,Удар,Критический удар,Последний шанс,Регенерация","болото,хвойный лес,лиственный лес,заболоченный лес,джунгли,мёртвый лес,песчаные дюны,высохшие растрескавшиеся холмы,грязевые холмы,холмы с высохшей травой,зелёные холмы,заболоченные холмы,хвойный лес на холмах,лиственный лес на холмах,заболоченный лес на холмах,джунгли на холмах,мёртвый лес на холмах,высокие горы,низкие горы,пустыня,высохшая растрескавшаяся земля,грязь,сухие луга,луга","сполдеры,коллар с подвеской",https://the-tale.org/guide/mobs/206,"
> – Очирбат.  
>   
> – А?  
>   
> – Помнишь того рыцарька молодого, рыжего, что с месяц назад пропал?  
>   
> – Смешной такой? И пить не умел? Помню.  
>   
> – Знакомый ходок вчера рассказал, что видел его на тракте.  
>   
> – Живой? Ну славно. Хороший парень…  
>   
> – Нет. Ревенант он.  
>   
> – Твою же… А точно он?  
>   
> – Угу. По гербу на щите узнал, и волосы. Ну и одежда, меч… Лицо-то уже не узнать. Смерть меняет. Теперь он больше на высохший труп похож.  
>   
> – Йорл, как же его угораздило, а?  
>   
> – Ревенанты возвращаются с одной целью. Убить своего убийцу. Это вообще-то происходит нечасто, но ничего необычного тоже нет. Ясное дело, не каждый убиенный нежитью становится. Но если дух и воля пандорца сильны, если он жаждет отмщения, если энергии сойдутся… или некромант подсобит. Тогда может.  
>   
> – Это я слыхал. Ревенанты потому и опасны, что простые крестьянине редко в них превращаются. А вот воин, рыцарь какой-нибудь – это пожалуйста.  
>   
> – М-да. Что опасны, то опасны. Это тебе не какой-то заурядный неупокоенный… Хуже всего то, что убийцу-то своего он ищет, но вот кто именно ему нужен, ревенант толком не понимает. Нападает на кого угодно…  
>   
> – Вот это, кстати, Йорл, не факт. Не раз бывало, что ревенант находил героя, который прежде его из списка живых вычеркнул.

***Очирбат и Йорл «Патрулирование трактов»***"
Огай,Хан и Туан,Александр и Елена,3,демоны,воин,инстинкты,жестовое,живая плоть,"глаза: светятся,зубы: клыки,шерсть: облезлая,глаза: жёлтые",4 лапы,кошачье,средний,горизонтальное,"когти (урон: рвущий; материал: роговое образование; тип силы: физическая),клыки (урон: кусательный; материал: роговое образование; тип силы: ближе к физике)","Худой,Медленный,Ускорение,Горгулья,Удар,Берсерк","болото,хвойный лес,лиственный лес,заболоченный лес,джунгли,мёртвый лес,песчаные дюны,высохшие растрескавшиеся холмы,грязевые холмы,холмы с высохшей травой,зелёные холмы,заболоченные холмы,хвойный лес на холмах,лиственный лес на холмах,заболоченный лес на холмах,джунгли на холмах,мёртвый лес на холмах,высокие горы,низкие горы,пустыня,высохшая растрескавшаяся земля,грязь,сухие луга,луга","адагра,яогуанир",https://the-tale.org/guide/mobs/204,"
> Огай (от гоблин. яогуай) — один из низших демонов. Является в образе подобном животному и такие же, как у животного имеет потребности. Обычно выглядит, как пума, небольшой медведь, рысь или иной хищник. Узнать огая можно по светящимся жёлтым глазам без зрачков, хлопьям пены, падающей с пасти, линялой в любом месяце года шкуре, и более хитрому, нежели у дикого зверя, поведению.  
>    
> Огаи охотятся повсеместно, только ради еды. Будучи сытыми, прячутся, голодные же опасны. Обладают магическими способностями, в частности, сверхъестественной стойкостью к повреждениям. Из их прочных шкур изготавливается различное снаряжение. Например, щит из кожи огая считается трофеем, достойным как новичка, так и опытного воина.

***«Большая энциклопедия Хана и Туана», том десятый***"
Богомол,Хан и Туан,Александр и Елена,10,насекомые,воин,рефлексы,жестовое,плоть насекомого,кожа: хитин,4 лапы,насекомоподобное,средний,вертикальное,хватательная лапа (урон: ударный / рвущий; материал: хитин; тип силы: ближе к физике),"Худой,Удар,Боец,Быстрее ветра","лиственный лес на холмах,луга,лиственный лес,зелёные холмы","лапа богомола,жвалы богомола",https://the-tale.org/guide/mobs/39,"
> Богомол — это хищное насекомое, ростом способное поспорить с человеком. Обитает оно большей частью в зелёной равнинной местности. Гораздо реже его можно встретить по берегам рек в засушливых степях.   
>   
> Окрас изменчив, в зависимости от окружающей среды варьируется от ярко-зеленого до пыльно-серого или бурого.   
>   
> Богомол обладает мощными передними лапами, с помощью которых добывает себе пищу. Прячась в засаде, это насекомое поджидает свою добычу и, когда жертва достаточно приближается, невероятно быстро наносит хватательный удар. Борьбы, как правило, при этом не происходит. Основу его рациона составляют как гнездящиеся на земле птицы, зайцы и мелкие грызуны, так и домашний скот, крупные животные и даже люди и пандорцы других рас.  
>   
> Будучи молодыми и слабыми, богомолы не являются особенно опасными насекомыми. Однако, крупные особи способны убить невооружённого путника.

***«Большая энциклопедия Хана и Туана» том второй***"
Клешнец,Лялислав Бездомный,Александр и Елена,5,насекомые,воин,низкий,,плоть насекомого,"худой,кожа: хитин",4 лапы,насекомоподобное,средний,вертикальное,клешня (урон: рвущий / режущий; материал: хитин; тип силы: ближе к физике),"Худой,Слабый,Удар,Быстрее ветра","сухие луга,холмы с высохшей травой,луга,зелёные холмы","кобеняк,голова клешнеца",https://the-tale.org/guide/mobs/36,"
> Клешнец – это очень необычное насекомое, обитающее в луговой местности, на полях или в зеленых степях.   
>   
> Выглядит оно так, что нарочно не придумаешь. Мелкие клешнецы, только начинающие охотиться, размером с гоблинского ребёнка, но взрослые особи могут достигать роста крупного орка... Да, именно роста, потому что насекомые эти передвигаются на четырёх задних лапах, а туловище держат вертикально. Передние конечности представляют собой подобие рук. Точнее одна, трёхпалая. Вторая – давшая этой твари название – это большая клешня. Тёмно-коричневый хитин на обеих «руках» зазубренный, словно пила, и клешнец пользуется этим соответственно: ранит, а после разделывает добычу. Основной урон, конечно, наносит клешнёй, которой способен раздавить кирасу или одним махом отделить человеку голову от тела. Мордой клешнец напоминает муравья, только ротовые жвалы более выражены.  
>   
> Но самая большая странность клешнеца не во внешности. Сильнее всего поражают в этом насекомом... зачатки разума! Оно немногим глупее кобольда или тролля, хоть и не обладает даром речи, и не использует оружия. Но клешнецы давным-давно додумались до хитрой маскировки. На длинные дистанции они не бегуны, поэтому стараются подбираться к жертве поближе. А кто же такую тварь к себе подпустит? И тут, за что я ручаюсь, так как много раз видел это своими полными изумления глазами, клешнецы прикидываются нами, обычными пандорцами. Они носят длинные плащи с капюшонами. Издалека совершенно не ясно, кто стоит у дороги. Молчаливый ли человек, пусть даже разбойник, но от которого знаешь чего ожидать? Или крайне опасный монстр, с обманчиво бессмысленными фасеточными глазами?

***Лялислав Бездомный «Брильянтовый тракт»***"
Бывший палач,Переяр,Александр и Елена,32,разумные двуногие,воин,нормальный,"вербальное,жестовое",живая плоть,одежда: плохо,2 ноги,гуманоидное,средний,вертикальное,топор (урон: рубящий; материал: металл; тип силы: физическая),"Здоровяк,Удар","заболоченные холмы,хвойный лес на холмах,лиственный лес на холмах,заболоченный лес на холмах,джунгли на холмах,мёртвый лес,мёртвый лес на холмах,пустыня,песчаные дюны,высохшая растрескавшаяся земля,высохшие растрескавшиеся холмы,грязевые холмы,сухие луга,холмы с высохшей травой,луга,зелёные холмы","поцелуй смерти,капюшон палача",https://the-tale.org/guide/mobs/113,"
> Есть такая гадкая профессия — палач. Недолюбливаю их. Нет, я понимаю, что-то с вопросом приговорённых к смерти решать надо, но держать специального человека, который успокаивает беспомощного, связанного… Нет, не только, ещё у орков есть. А вот дварфы, эльфы и гоблины как-то обходятся.  
>   
> Но я не о том. Когда палача с работы выгоняют, чем он станет заниматься?.. Вот именно! Он же, гад, ничего больше не умеет. А вот эта власть над тем, кого ты сейчас убьёшь, запах его крови… Как бы тебе… В общем, это сказывается на психике. Неизгладимо… Нет, ну не все, конечно. Но я сам пару раз встречался на дорогах с бывшими палачами…  
>   
> Да, именно. Они меня убить хотели… Да откуда мне знать? Может им есть нечего, а может без убийств они уже не могут. Какая разница? Суть в том, что они были не лучше убийцы или, к примеру взять, бандита. А уж оружием владеют как. Опыт-то многолетний.  
>   
> Короче, когда я им мозги по дороге разбрасывал, жалко мне их не было.

***Из бесед у камина со старым Переяром***"
Атач,Перкунос Седой,Александр и Елена,51,чудовища,воин,низкий,"вербальное,жестовое",живая плоть,"руки: три,кожа: ороговевшая,глаза: один,запах: немытое тело (вонь),горбящийся",2 ноги,гуманоидное,большой,вертикальное,когти (урон: рвущий; материал: роговое образование; тип силы: физическая),"Здоровяк,Удар,Громила,Регенерация,Неповоротливый","болото,заболоченные холмы,заболоченный лес,заболоченный лес на холмах,грязь,грязевые холмы","шрам атача,струны",https://the-tale.org/guide/mobs/164,"
> Атачи — энто особливо зловредные и противные существа. Обитают оные в болотах затхлых, куда свет солнечный пробраться не может, да промеж холмов от сырости прогнивших. Тупостью твари энти обладают непомерной и силой преогромнейшей.   
>   
> Роста в них с два орочьих бывает, кожа ихняя вся шишками роговатыми покрыта, акоже панцирем, рук оные имеют три, а глаз единый.   
>   
> Остерегаться путнику любому надобно атачей, потому как нету в скверне энтой ни жалости, ни сострадания, токмо жажда брюхо своё поганое едой набить.

***Перкунос Седой «О мире и жителях егонных», том второй***"
Волк,Лялислав Бездомный,Александр и Елена,10,животные,воин,инстинкты,жестовое,живая плоть,"зубы: клыки,хвост,шерсть: средней длины",4 лапы,собачье,средний,горизонтальное,клыки (урон: кусательный; материал: зуб; тип силы: физическая),"Худой,Удар,Быстрый","хвойный лес,хвойный лес на холмах,лиственный лес,лиственный лес на холмах","волчьи клыки,волчий хвост",https://the-tale.org/guide/mobs/7,"
> Быстрый и невероятно выносливый хищник, обитающий почти повсеместно, но, конечно, большей частью в лесах.   
>   
> Многие совершают большую ошибку, думая, что из-за не самого крепкого здоровья и сложения, волк не опасный противник. Конечно, опытному путешественнику этот зверь не доставит особых хлопот, однако, для того, кто только начал стаптывать свои первые сапоги о манящие в даль тракты, волк может стать серьёзной проблемой.   
>   
> Не следует также забывать о том, что данный представитель животного мира обладает скверным характером: вспыльчив и очень зол. Вдобавок ко всему, волки не являются привередами в кухне и часто не прочь разнообразить свой рацион, отведав кусочек путника.

***Лялислав Бездомный «Брильянтовый тракт»***"
Гиан,Очирбат и Йорл,Александр и Елена,11,нежить,маг,низкий,жестовое,энергия,"глаза: красные,глаза: светятся,зубы: клыки",парит над землёй,гуманоидное,средний,вертикальное,клыки (урон: кусательный; материал: зуб; тип силы: магическая),"Контроль,Удар,Вампиризм,Критический удар,Последний шанс,Быстрее ветра","болото,хвойный лес,лиственный лес,заболоченный лес,джунгли,мёртвый лес,песчаные дюны,высохшие растрескавшиеся холмы,грязевые холмы,холмы с высохшей травой,зелёные холмы,заболоченные холмы,хвойный лес на холмах,лиственный лес на холмах,заболоченный лес на холмах,джунгли на холмах,мёртвый лес на холмах,высокие горы,низкие горы,пустыня,высохшая растрескавшаяся земля,грязь,сухие луга,луга","айлетты,плоть гиана",https://the-tale.org/guide/mobs/207,"
> – Йорл, я не понял, мы кого сейчас развоплотили?  
>   
> – Это гиан. Гианы – твари особенные. Они могут на несколько секунд обретать плоть.  
>   
> – Да уж я заметил. Эта сволочь с плотью ещё и клыки обретает. И кровь, курва, сосёт.  
>   
> – Очирбат, шею-то замотай. Заражения не будет, но рубаху ты себе кровью зальёшь.  
>   
> – Не терплю нежить. Некромантов этих всех, с их больной фантазией. Дух-кровосос – это нормально вообще, Йорл?  
>   
> – Нет. Но тут природа сама постаралась... Ну, вроде бы. Маги говорят, гианы – не созданная, а спонтанная нежить. Хотя некроманты и научились её создавать. Думаю, всё дело было в атмосфере или в каком-нибудь минерале залегающем, который на магию влияет.

***Очирбат и Йорл «Патрулирование трактов»***"
Ванахальб,Перкунос Седой,Александр и Елена,5,нежить,маг,рефлексы,жестовое,энергия,"глаза: светятся,тело: светится,глаза: белые",парит над землёй,гуманоидное,средний,вертикальное,касание энергетическое (урон: энергетический; материал: неизвестен; тип силы: магическая),"Контроль,Маг,Удар,Ускорение","болото,хвойный лес,лиственный лес,заболоченный лес,джунгли,мёртвый лес,песчаные дюны,высохшие растрескавшиеся холмы,грязевые холмы,холмы с высохшей травой,зелёные холмы,заболоченные холмы,хвойный лес на холмах,лиственный лес на холмах,заболоченный лес на холмах,джунгли на холмах,мёртвый лес на холмах,высокие горы,низкие горы,пустыня,высохшая растрескавшаяся земля,грязь,сухие луга,луга","расшитые пулены,фибула",https://the-tale.org/guide/mobs/208,"
> Аукец иль по-эльфийски ванахальб – дух мертвеца, покой не обретший, что ночной порой на живых охотится, а бывает и днём даже. Сперва оный с дороги путника сбивает, ибо сам когда-то заблудился и сгинул, или же товарищами брошен был. А после, когда ослабнет путник, разум ему ещё сильней затуманивает и нападает.  
>   
> Силу жизненную из жертвы своей тянет во злобе и вечной обиде за судьбу свою, и холод от ванахальба веет. Не убить его ни магу ни воину, токмо отогнать можно, но вскорости опять оный вернётся и на иного кого нападёт. Лишь так ванахальба успокоить можно. Найти кости его и на дорогу вынести, а надёжней на перепутье. Сказать надобно:  
>   
> > Там вон север, там вон юг.  
> > Ванахальб не нужен тут.  
> > Пусть идёт своей тропой,  
> > Пусть увидится с семьёй.  
> > Нет вины уж на живых,  
> > Ни на мне, ни на других.
> 
>   
> Как сказал так, брось на север соли горсть одну, на юг пепла другую. Тогда дух простит обиду свою и без следа развеется.

***Перкунос Седой «О мире и жителях егонных» том первый***"
Горный манул,Хан и Туан,Александр и Елена,13,животные,авантюрист,инстинкты,жестовое,живая плоть,"хвост,шерсть: средней длины",4 лапы,кошачье,маленький,горизонтальное,когти (урон: рвущий; материал: роговое образование; тип силы: равновесие),"Дезориентация,Удар,Ошеломление","хвойный лес на холмах,лиственный лес на холмах,высокие горы,низкие горы,зелёные холмы","горная мантия,пыльный мех",https://the-tale.org/guide/mobs/148,"
> Горный манул — это отдельный вид существ, имеющих близкое родство с кошками. К основной территории его обитания относятся высокие холмы, предгорья, горы, скалы, а также обширные каменистые местности.   
>   
> Окрас его очень густого и пушистого меха варьируется от светло-серого до буро-коричневого и черного. Общий рост взрослого самца обычно равен росту мужчины гоблина, однако существуют и более крупные особи.   
>   
> Горный манул является исключительно хищником. Охотится в основном одиночно, но иногда данные животные сбиваются в стаи, чаще всего для того, чтобы убить очень крупную жертву.  
>   
> Рацион горного манула составляют небольшие бестии и монстры, постоянно обитающие на тех же территориях, что и он.   
>   
> Данный вид существ является умеренно агрессивным и повышено опасным.

***«Большая энциклопедия Хана и Туана», том третий***"
Механический дракончик,Лялислав Бездомный,Александр и Елена,14,конструкты,маг,рефлексы,жестовое,металл,"зубы: клыки,хвост",4 лапы,ящериное,средний,горизонтальное,"когти (урон: рвущий; материал: металл; тип силы: равновесие),клыки (урон: кусательный; материал: металл; тип силы: физическая),шипастый хвост (урон: ударный / колющий; материал: металл; тип силы: физическая)","Здоровяк,Удар,Громила","мёртвый лес на холмах,высокие горы,низкие горы","шипованный хвост,шестерёнка",https://the-tale.org/guide/mobs/42,"
> Сейчас я расскажу о еще одном «чудесном» творении магов. Обитает оно в полях и способно стать достаточно серьезной проблемой для путника. А речь моя пойдет о механическом дракончике.   
>   
> Сразу хочу отметить, название монстру дали его создатели, и уменьшительная форма не отражает реальной действительности.   
>   
> Этот дракончик имеет весьма внушительные размеры. Я не знаю, какие цели преследовали маги, творя его, но душегуб у них вышел отменный. Гремящее и скрежещущее шестернями чудовище, обладает высокой прочностью и необузданной жаждой убийства. Когти, зубы, тяжёлый хвост позволяют ему очень быстро, часто в один удар, разделаться с любым противником.   
>   
> При встрече с механическим дракончиком первому нападать не стоит, если есть возможность, лучше ретироваться, но если вариантов нет, будьте готовы, легко с ним справиться не получится.

***Лялислав Бездомный, «Записки путешественника»***"
Семиглаз,Хан и Туан,Александр и Елена,12,насекомые,воин,рефлексы,жестовое,плоть насекомого,"кожа: хитин,глаза: много",6 лап,насекомоподобное,большой,горизонтальное,жвалы (урон: кусательный; материал: хитин; тип силы: ближе к физике),"Здоровяк,Ускорение,Ниндзя,Удар","лиственный лес,лиственный лес на холмах,высохшая растрескавшаяся земля,высохшие растрескавшиеся холмы,сухие луга,холмы с высохшей травой,луга,зелёные холмы","тараканий щит,тараканий ус",https://the-tale.org/guide/mobs/143,"
> Семиглаз — это бестиевидное насекомое, являющееся одним из видов тараканов.   
>   
> К основным территориям его обитания относятся обширные луговые местности, обрабатываемые поля, реже сады и степи.   
>   
> Необходимо отметить высокую частоту нападений этого существа на небольшие отдаленные поселения, уничтожение урожаев, стад, амбаров с зерном и другой пищей, истребление деревенских жителей.   
>   
> Семиглаз имеет крупное тело, иногда достигающее веса крупного быка, и длины двух ростов человека. Семь глаз, расположенных на голове дугой, способны к самостоятельному вращению, что позволяет данному насекомому видеть одновременно в несколько сторон.   
>   
> Этот вид тараканов является повышенно агрессивным и опасным существом.

***«Большая энциклопедия Хана и Туана», том семнадцатый***"
